ID_Cod,Proprietario_Nome,Proprietario_DatasExtremas,Proprietario_Titulo,Proprietario_Titulo_DatasExtremas,TipoDoc,Descricao,Obra,AtribuicaoAlternatObra,Sinopse_Obra,ProbAtribObra,GenLit_Descricao,TradicaoIntelectual_Obra,AtribuicaoAlternatAutor,Nome_Autor,BioAbreviada_Autor,EstatutoAutor,NumCopias,OrigemGeografica_Autor,LocalNasc_Autor,Latitude_Autor,Longitude_Autor,Expr1010,CatLit_Descricao,ProbAtribAutor,EpocaHistorica_Autor,DataNasc_Autor,DataMorte_Autor,Idioma
DUA056,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Bartolo em cadernos encadernado em purgaminho,[Comentário de] Bártolo,Não aplicável,"A referência genérica ao livro – simplesmente identificado pelo nome do autor: «Bartolo» –, não permite uma identificação conclusiva acerca de qual seria, em concreto, a obra em causa, considerando os numerosos comentários deixados pelo jurisconsulto italiano ao «Corpus Iuris Civilis». Conhece-se a existência em Portugal de vários textos da sua autoria ou, pelo menos, que lhe são atribuíveis. Existiu um comentário seu na Livraria de D. João e dois na livraria de D. Duarte. possivelmente um dos quais o que pertencera ao seu pai. Num testamento de Mem Perez de Oliveira, deão da Sé de Évora, de 1407, são-lhe associados um «Tractatus de succesionibus ab intestato» e um «materium statutorum». Por sua vez, o Doutor Diogo Afonso de Mangancha, em 1447, possuía, entre outros livros, a «Segunda parte do Bartolo sobre o Esfforçado» e «os Bartolos ssobre o Digesto Novo». Já a livraria da universidade portuguesa continha, em 1513, sete volumes de «Bartolo antigo», dos quais cinco manuscritos e dois impressos, além de um seu «Comentário à segunda parte do Digesto Novo».",Indeterminada,Direito,Direito romano,Não aplicável,Bártolo de Saxoferrato,"Bartolus de Saxoferrato (Bartolo da Sassoferrato), nascido em 1313/14, em Sassoferrato, Estados Pontifícios, e falecido em 1357, em Perugia. Foi jurista e professor de direito. Estudou direito com Cino de Pistóia em Perugia e com Jaime de Belvisio, em Bolonha, onde obteve o doutoramento em direito civil em 1334. Após estudos privados adicionais, tornou-se professor de direito em Pisa em 1339 e, mais tarde, em Perugia, onde permaneceu até à sua morte, tendo ocupado aí a cátedra de direito, a partir de 1343. É conhecido por ter desenvolvido um método de aplicação do direito romano a problemas contemporâneos através do método escolástico. Em rutura com os seus predecessores - os glosadores -, que haviam trabalhado em Bolonha desde cerca de 1125, emergiu como a principal figura dos pós-glosadores, ou comentadores, um grupo de juristas do norte da Itália que, a partir de meados do século XIV, escreveram sobre o direito romano, entre os quais um grupo de juristas que seguiu o seu método e ficou conhecido como ""Bartolistas"" Ele e seus colegas utilizaram o Corpus Juris Civilis, na maioria compilado pelo imperador bizantino Justiniano I no século VI, como base para extrair amplos princípios jurídicos que pudessem ser aplicados à resolução de problemas contemporâneos na Europa do século XIV. Bártolo escreveu diversas doutrinas jurídicas de grande influência, especialmente sobre a autoridade governamental das cidades-estado e os direitos dos indivíduos e das corporações dentro delas. Esses e outros de seus princípios tornaram-se parte do direito comum na Itália e foram também reconhecidos como legislação em Espanha, Portugal e Alemanha. De resto, os comentários de Bártolo sobre o Corpus Juris Civilis foram, por vezes, considerados como uma autoridade equivalente à do próprio código. De Bártolo foi discípulo, em Perúgia, Baldo de Ubaldo (1327-1400), que viria a ser professor em Pádua, Perúgia e Pisa, e autor de vários comentários aos mais importantes textos civis e canónicos do seu tempo. A produção literária que está atribuída a Bártolo inclui «Comentários ao Digesto» (Antigo e Novo), «Comentários ao Códice de Justiniano», «Comentário às Instituições», «Comentários ao Esforçado», «Consilia, Quaestiones et Tractatus», «Sobre os Rios», «Opera omnia», «Sobre Insígnias e Armas», «Sobre a Tirania», «Sobre Guelfos e Gibelinos», «Sobre o Governo da Cidade», «Sobre os Tiranos» e «Sobre os Estatutos».",Autor,1,Península Itálica,Sassoferrato,43° 25′ 52″ N,12° 51′ 24″ E,Não aplicável,Jurídica,Indisputada,Baixa Idade Média (XIV-XV),1313/14,1357,
DUA057,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Conquista de Ultramar,Conquista do Ultramar,,,,Historiografia,Matéria de Roma Antiga,,Guilherme de Tiro,,,1,Próximo Oriente,Jerusalém,31° 46′ 41″ N,35° 13′ 25″ E,,História,,Idade Média Central (XI-XIII),,,
DUA058,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Livro da Cetraria, que foi d'El-Rei Dom João",Livro de Cetraria,,,,Cinegética,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Técnica,,Baixa Idade Média (XIV-XV),,,
DUA059,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Orto do Sposo,Orto do Esposo,,,,Espiritualidade cristã,,,Anónimo (Baixa Idade Média),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Espiritualidade e religiosidade,,Baixa Idade Média (XIV-XV),,,
DUA060,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Agricultura, que foi d'el-rei Dom João",Sobre a Agricultura (De re rustica),,,,Agricultura,Agronomia romana,,Columela (Lucius Junius Moderatus Columella),,Autor,1,Península Ibérica,Gades (atual Cádis),36° 31′ 0″ N,6° 17′ 0″ W,,Técnica,Indisputada,Antiguidade Clássica (V aC-III),,,
DUA055,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Coronica despanha em cadernos,Historia Geral de Espanha,,,,Cronística,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,História,,Baixa Idade Média (XIV-XV),,,
DUA062,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Marco Tulio,Sobre o Orador (De Oratore),,,,Retórica,Ética romana,,Marco Túlio Cícero (Marcus Tullius Cicero),,,1,Península Itálica,Arpino,41° 38′ 0″ N,13° 36′ 0″ E,,Filosofia e Artes liberais,Indisputada,Antiguidade Clássica (V aC-III),,,
DUA051,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Marco Tullio, o qual tirou em linguagem o Infante D. Pedro",Sobre os ofícios (De Officiis),,,,Filosofia,Ética romana,,Marco Túlio Cícero (Marcus Tullius Cicero),,,1,Península Itálica,Arpino,41° 38′ 0″ N,13° 36′ 0″ E,,Filosofia e Artes liberais,Indisputada,Antiguidade Clássica (V aC-III),,,
DUA063,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Livro das Trovas d'El-Rei Dom Affonso, encadernado em couro, o qual compilou F. de Montemór o Novo",Livro das Trovas de Afonso X,,,,Poesia lírica,Lírica peninsular,,"Afonso X, Rei de Castela","Rei de Leão e Castela, conhecido por O Sábio. Nascido em 1221 em Toledo, falecido em Sevilha em 1284; rei a partir de 1252. Foi eleito imperador de jure do Sacro Império Romano-Germânico, ainda que não tenha chegado a exercer o cargo de facto. Teve uma importante atividade de fomento às artes e à cultura, apesar de a sua época estar marcada por contendas políticas e religiosas. A figura de Afonso X está no centro da atividade poética ibérica do século XIII, por ele encorajada e patrocinada antes de ser por ele próprio praticada: a sua corte foi o lugar de encontro de um grande número dos poetas galego-portugueses mais representativos e de muitos trovadores provençais, que encontraram em Afonso X não só o patrono como também o inteligente e interessado interlocutor para questões requintadamente literárias e científicas. Além da poesia lírica, destacam-se as suas contribuições para o direito, a organização das «Partidas» e do «Foro real», e para a historiografia, com as edições da «Primeira Cronica General» e da «General Estoria». Foi em seu torno, e sobre os seus auspícios, que se desenvolveu a famosa escola de Toledo, centro de inúmeras traduções.",,1,Península Ibérica (Castela),Toledo,39° 51′ 46″ N,4° 1′ 38″ W,,Poesia,,Idade Média Central (XI-XIII),1221,1284,
DUA061,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Arvore das batalhas,Árvore das Batalhas,,,,Ética cavaleiresca,Ética cavaleiresca,,Honoré Bonnet,,,1,França,Marselha,43° 18′ 0″ N,5° 22′ 0″ E,,Técnica,,Idade Média Central (XI-XIII),,,
DUA045,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro das Oras do Espirito Santo encadernado em letra grosa coberto de coiro verde,Livro de Horas do Espírito Santo,,,,Liturgia,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Espiritualidade e religiosidade,,Baixa Idade Média (XIV-XV),,,
DUA054,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Julio Cesar,Júlio César (Divus Julius),,,,Historiografia,Historiografia romana,,Suetónio (Gaius Suetonius Tranquillus),,,1,Norte de África,Hipona (atual Annaba),36° 54′ 44″ N,7° 45′ 22″ E,,História,Indisputada,Antiguidade Clássica (V aC-III),,,
DUA047,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro da Virtuosa Bemfeitoria,Livro da Virtuosa Bemfeitoria,,,,Literatura didática,Ética cavaleiresca,,"Pedro  (D.), Duque de Coimbra",,,1,Península Ibérica (Portugal),Coimbra,40° 12′ 0″ N,8° 25′ 0″ W,,Técnica,,Baixa Idade Média (XIV-XV),,,
DUA052,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro da Guerra,Sobre a Guerra,,,,Ética cavaleiresca,Estratégia militar romana,,Vegécio (Publius Flavius Vegetius Renatus),,,1,Península Itálica,Roma,41° 53′ 24″ N,12° 28′ 58″ E,,Técnica,,Antiguidade Tardia (III-VIII),,,
DUA050,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Bartolo com tavoas e coiro verde,[Comentário de] Bártolo,Não aplicável,"A referência genérica ao livro – simplesmente identificado pelo nome do autor: «Bartolo» –, não permite uma identificação conclusiva acerca de qual seria, em concreto, a obra em causa, considerando os numerosos comentários deixados pelo jurisconsulto italiano ao «Corpus Iuris Civilis». Conhece-se a existência em Portugal de vários textos da sua autoria ou, pelo menos, que lhe são atribuíveis. Existiu um comentário seu na Livraria de D. João e dois na livraria de D. Duarte. possivelmente um dos quais o que pertencera ao seu pai. Num testamento de Mem Perez de Oliveira, deão da Sé de Évora, de 1407, são-lhe associados um «Tractatus de succesionibus ab intestato» e um «materium statutorum». Por sua vez, o Doutor Diogo Afonso de Mangancha, em 1447, possuía, entre outros livros, a «Segunda parte do Bartolo sobre o Esfforçado» e «os Bartolos ssobre o Digesto Novo». Já a livraria da universidade portuguesa continha, em 1513, sete volumes de «Bartolo antigo», dos quais cinco manuscritos e dois impressos, além de um seu «Comentário à segunda parte do Digesto Novo».",Indeterminada,Direito,Direito romano,Não aplicável,Bártolo de Saxoferrato,"Bartolus de Saxoferrato (Bartolo da Sassoferrato), nascido em 1313/14, em Sassoferrato, Estados Pontifícios, e falecido em 1357, em Perugia. Foi jurista e professor de direito. Estudou direito com Cino de Pistóia em Perugia e com Jaime de Belvisio, em Bolonha, onde obteve o doutoramento em direito civil em 1334. Após estudos privados adicionais, tornou-se professor de direito em Pisa em 1339 e, mais tarde, em Perugia, onde permaneceu até à sua morte, tendo ocupado aí a cátedra de direito, a partir de 1343. É conhecido por ter desenvolvido um método de aplicação do direito romano a problemas contemporâneos através do método escolástico. Em rutura com os seus predecessores - os glosadores -, que haviam trabalhado em Bolonha desde cerca de 1125, emergiu como a principal figura dos pós-glosadores, ou comentadores, um grupo de juristas do norte da Itália que, a partir de meados do século XIV, escreveram sobre o direito romano, entre os quais um grupo de juristas que seguiu o seu método e ficou conhecido como ""Bartolistas"" Ele e seus colegas utilizaram o Corpus Juris Civilis, na maioria compilado pelo imperador bizantino Justiniano I no século VI, como base para extrair amplos princípios jurídicos que pudessem ser aplicados à resolução de problemas contemporâneos na Europa do século XIV. Bártolo escreveu diversas doutrinas jurídicas de grande influência, especialmente sobre a autoridade governamental das cidades-estado e os direitos dos indivíduos e das corporações dentro delas. Esses e outros de seus princípios tornaram-se parte do direito comum na Itália e foram também reconhecidos como legislação em Espanha, Portugal e Alemanha. De resto, os comentários de Bártolo sobre o Corpus Juris Civilis foram, por vezes, considerados como uma autoridade equivalente à do próprio código. De Bártolo foi discípulo, em Perúgia, Baldo de Ubaldo (1327-1400), que viria a ser professor em Pádua, Perúgia e Pisa, e autor de vários comentários aos mais importantes textos civis e canónicos do seu tempo. A produção literária que está atribuída a Bártolo inclui «Comentários ao Digesto» (Antigo e Novo), «Comentários ao Códice de Justiniano», «Comentário às Instituições», «Comentários ao Esforçado», «Consilia, Quaestiones et Tractatus», «Sobre os Rios», «Opera omnia», «Sobre Insígnias e Armas», «Sobre a Tirania», «Sobre Guelfos e Gibelinos», «Sobre o Governo da Cidade», «Sobre os Tiranos» e «Sobre os Estatutos».",Autor,1,Península Itálica,Sassoferrato,43° 25′ 52″ N,12° 51′ 24″ E,Não aplicável,Jurídica,Indisputada,Baixa Idade Média (XIV-XV),1313/14,1357,
DUA049,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro dos Officios da casa de algum rei,Livro de Ofícios dos Reis,,,,Desconhecido,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Desconhecida,,Baixa Idade Média (XIV-XV),,,
DUA048,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro das Ordenações dos Reis,Ordenações dos Primeiros Reis,Livro das Leis e Posturas,"Compilação desaparecida, o ‘Livro das Ordenações dos Reis’, pertença de D. Duarte, citado no inventário da sua livraria de mão, é por vezes identificado com as ‘Ordenações de D. Duarte’. Bem mais provavelmente, corresponderá à cópia-matriz usada para nelas se transcrever a seção de leis, ordenações, degredos, constituições, estabelecimentos, concórdias, agravamentos e costumes, de reinados anteriores — de D. Afonso II, D. Afonso III, D. Dinis e D. Afonso IV (fls. 23r-352v). É admissível que seja o «Livro das Ordenações que anda na Chancelaria», assim referido numa certidão do Mosteiro de Tarouca, que Teófilo Braga identifica possivelmente com um código mandado organizar por D. João I ao seu jurisconsulto João Mendes Cavaleiro. Este ‘Livro das Ordenações dos Reis’ poderá ter sido usado supletivamente como fonte para as ‘Ordenações Afonsinas’.",Provável,Direito,Ordenamento jurídico português,Não aplicável,"AAVV (D. Afonso II, D. Afonso III, D. Dinis, D. Afonso IV)",,Compilador,1,Península Ibérica (Portugal),Portugal,39° 39′ 52″ N,8° 7′ 58″ W,Livro das Leis e Posturas,Jurídica,Indisputada,Idade Média Central (XI-XIII),sécs. XII-XIV,sécs. XII-XIV,
DUA064,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Valério Maximo em aragoês,Feitos e ditos memoráveis (Facta et Dicta Memorabilia),,,,Contos morais e exemplares,Ética romana,,Valério Máximo (Gaius Valerius Maximus),,,1,Península Itálica,Roma,41° 53′ 24″ N,12° 28′ 58″ E,,Moralidades,Indisputada,Antiguidade Clássica (V aC-III),,,
DUA076,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro de Estrologia encadernado e coberto de coiro preto,Sobre a Astrologia,,,,Astronomia / Astrologia,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Filosofia e Artes liberais,,Baixa Idade Média (XIV-XV),,,
DUA046,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Cadernos das cidades e villas de Portugal,Cidades e villas de Portugal,,,,Geografia,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Filosofia e Artes liberais,,Baixa Idade Média (XIV-XV),,,
DUA053,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,O Livro do Conde de Lucanor,Livro do Conde de Lucanor,,,,Contos morais e exemplares,Prosa moral,,Juan Manuel,,,1,Península Ibérica (Castela),Escalona,40° 10′ 0″ N,4° 25′ 0″ W,,Moralidades,,Baixa Idade Média (XIV-XV),,,
DUA075,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro de Rumelião,Livro de Rumelião,,,,Desconhecido,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Desconhecida,,Baixa Idade Média (XIV-XV),,,
DUA044,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Caderno das Commemorações, em letra grosa",Por classificar,,,,Liturgia,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Espiritualidade e religiosidade,,Baixa Idade Média (XIV-XV),,,
DUA012,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Epistolas de Seneca com outros Tratados,Epístolas a Lucílio (Epistulae Morales ad Lucilium),,,,Filosofia,Ética romana,,Séneca (Lucius Annaeus Seneca),,,1,Península Itálica,Córdova,37° 53′ 0″ N,4° 46′ 0″ W,,Filosofia e Artes liberais,Indisputada,Antiguidade Clássica (V aC-III),,,
DUA084,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Tratado de Virtud,Memorial das Virtudes (Memoriale virtutum),,,,Filosofia,Ética cristã,,Afonso de Santa Maria (também Afonso de Cartagena),,Autor,,Península Ibérica (Castela),Cartagena,37° 36′ 0″ N,0° 59′ 0″ W,,Filosofia e Artes liberais,,Baixa Idade Média (XIV-XV),,,
DUA083,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Livro de cavalgar, que el-rei D. Duarte compilou",Livro da Ensinança da Arte de Bem Montar toda a Sela,,,,Equitação,Prática cavaleiresca,,"Duarte (D.), Rei de Portugal","Filho de D. João I e de Filipa de Lencastre, conhecido como rei filósofo, colaborou ativamente nas empresas levadas a cabo pelo pai e seus irmãos, designadamente a tornada de Ceuta e Tânger, tornando-se colaborador e administrador dos negócios do reino logo após a conquista de Ceuta. Nasceu em Viseu em 1391, foi designado rei em 1433, morrendo muito cedo, provavelmente vitimado pela peste de 1438. Foi o grande animador cultural do seu tempo. o que o conduziu ao palco de acontecimentos relevantes, como os concílios de Basileia (1431) e de Florença (1434). onde terá estabelecido contactos valiosos para o enriquecimento da sua atividade intelectual. Ao mesmo tempo, impulsionou o desenvolvimento da cultura em Portugal, sobretudo através da especulação ideológica que se pode notar nas duas obras fundamentais. A sua influência manifestou-se em vários sectores da cultura pela sua ligação direta a projetos historiográficos e literários, sem esquecer a promoção de traduções de obras fundamentais, de que por vezes ele próprio se ocupou. Outro aspeto do desenvolvimento da cultura prende-se com a sua conceção moderna do Estado, de que deriva uma maior circulação de documentos escritos relacionados com a administração pública. Detentor de uma riquíssima biblioteca, com mais de oitenta volumes. acumulada decerto com a paixão do bibliófilo, mas, ao mesmo tempo, com um sentido didático evidente, se considerarmos que deve ter sido consultada pelos «homens de corte», a julgar pelas recomendações do próprio D. Duarte, aconselhando a leitura de algumas obras da sua biblioteca. Obras de sua autoria são o ‘Livro dos Conselhos (ou da Cartuxa)’; o ‘Leal Conselheiro’; o ‘Livro da Ensinança de Bem Cavalgar Toda Sela’. Devem-se-lhe ainda a compilação das ‘Ordenações de D. Duarte’, alem de ter sido o encomendante das “Crónicas de Fernão Lopes”, por si nomeado Cronista-Mor do Reino.",,1,Península Ibérica (Portugal),Viseu,40° 39′ 40″ N,7° 54′ 35″ W,,Técnica,,Baixa Idade Média (XIV-XV),1391,1438,
DUA082,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Collações de letra pequena,Colações dos Padres (Collationes Patrum),,,,Espiritualidade cristã,Monaquismo oriental primitivo,,João Cassiano (Johannes Cassianus),,,1,Europa de Leste,Scythia Menor (atual Dobruja),44° 19′ 0″ N,28° 30′ 0″ E,,Espiritualidade e religiosidade,,Antiguidade Tardia (III-VIII),,,
DUA081,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Dous livros de Martim Pires,Livro de Martim Perez,,,,Liturgia,Ascetismo cristão,,Martin Perez,,,2,Península Ibérica,Castela (atual Espanha),39° 30′ 0″ N,3° 0′ 0″ W,,Espiritualidade e religiosidade,,Baixa Idade Média (XIV-XV),,,
DUA080,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro da Primeira Partida,Primeira Partida,Não aplicável,"Na corte de Afonso X levou-se a cabo a mais importante codificação medieval de leis. Em seu torno, agrupam-se dois monumentos jurídicos, sem importância literária, mas de interesse considerável, ou mesmo extraordinário, para a história do direito peninsular: as «Partidas», e o «Fuero Real». Regendo-se Portugal pelo direito romano, bem cedo textos jurídicos de Castela foram vertidos para português, pelo que as «Partidas» de Afonso X nos passaram a servir como fontes subsidiárias do direito, dada a necessidade de tornar acessível legislação que, entre nós, se oferecia apenas em textos latinos e castelhanos. O maior monumento legislativo e o código mais importante levado a cabo por Afonso X — «Sete Partidas» foi redigido provavelmente entre 1256 e 1265, tendo exercido enorme influência sabre os povos peninsulares. Este instrumento jurídico constitui um tratado completo de todo o direito, em particular do comum. Está dividido em 7 partes cujo conteúdo é o seguinte: «Primeira Partida» — Direito Eclesiástico; «Segunda Partida» — Direito Politico e Administrativo; «Terceira Partida» — Direito Processual; «Quarta Partida» — Direito de Família; «Quinta Partida» — Direito das Obrigações e Contratos; «Sexta Partida» — Direito das Sucessões; «Sétima Partida» — Direito Penal. Cedo foi traduzida esta obra em português, embora se desconheça quando, por quem e porquê. A tarefa de mandar traduzir obras do castelhano terá sido a não existência de um autêntico corpo legal disponível para a aplicação do direito. Já desde o início do século XIV, que as «Partidas» existiam entre nós em versão portuguesa. Delas possuímos, em versão integral, a «Primeira Partida» (proveniente de Alcobaça) e a «Terceira Partida» (do Convento de Santo António da Marciana) e diversos fragmentos de outras, exceto da «Quarta Partida» e da «Sexta Partida», os quais têm sido descobertos em arquivos de Braga, de Coimbra, de Lisboa e de Évora. 
Existem, pois, dois textos completos atualmente no ANTT: Primeira Partida (é o nª 2 do Núcleo Antigo, editado em 1980 pelo INIC) e Terceira Partida (é o nª 3 do Núcleo Antigo). Foram ambos transcritos em 1799 par J. Cornide, encontrando-se essas cópias na Biblioteca da R. A. de la Historia, com as cotas respetivamente: 915612 e 915613. Como da «Primeira Partida» foram executadas duas cópias, uma ficou em Lisboa (é o nº 103 do Núcleo Antigo do ANTT).  Além destes textos completos, existem fragmentos destas e doutras Partidas. Assim:
1.	Da «Primeira Partida»: 1 fragmento no ANTT (é o nº 1 da Colegiada de Santa Iria, publicado em 1980) constituído por Tit. XIX, lei 21; Tit. XX, leis 1 e 2; Tit. XXII, leis 5, 6, 7, 8.
2.	Da «Segunda Partida»: 3 fragmentos, um no ANTT (Tit. XX, leis 3, 4; Tit. XXI, leis 10, 11) e dois no Arquivo Distrital de Braga (Tit. XXVI, leis 10 a 18 — publicado juntamente com o anterior em 1987; Tit. XIII, leis 22 e 24; Tit. XVI, leis 2, 3, 4).
3.	Da «Terceira Partida»: 5 fragmentos, um no ANTT (Tit. V, leis 17 e 21; Tit. VII, leis 8 a 11 — publicado em 1980), um no Arquivo Paroquial de S. João do Souto, Braga (Tit. XVIII, leis 59, 60, 61, 69, 70 — publicado em 1985) e três no Arquivo Distrital de Braga (Tit. VIII, leis 7, 8; Tit. IX, Leis 1 e 2; Tit. X, leis 1,8: Tit. XI, leis 1, 2 — a publicar na homenagem a Celso Cunha; Tit. XVI, leis 36 a 40; Tit. XVII, leis 2 a 6— publicado em 1980; Tit. XIX, leis 3, 4, 5 — não publicado por ilegível, mas referenciado em 1984).
4.	Da «Sétima Partida»: 1 fragmento no Arquivo Distrital de Évora (Tit. XXX. leis 7 a 10; Tit. XXXI, leis 1 a 11: Tit. XXXII, leis 1, 2).
A existência destes fragmentos e porventura doutros ainda desconhecidos é um sinal inequívoco da amplia divulgação deste texto jurídico que outros não terão tido, como o «Foro Real», por exemplo. Testemunham claramente a difusão e o uso da obra entre nós, resultante da necessidade de tornar extensivo a todo o Portugal, e em língua romance, um código importante para o bom regimento do reino, o que implicava a existê",Indisputada,Direito,Ordenamento jurídico ibérico,Não aplicável,"Afonso X, Rei de Castela","Rei de Leão e Castela, conhecido por O Sábio. Nascido em 1221 em Toledo, falecido em Sevilha em 1284; rei a partir de 1252. Foi eleito imperador de jure do Sacro Império Romano-Germânico, ainda que não tenha chegado a exercer o cargo de facto. Teve uma importante atividade de fomento às artes e à cultura, apesar de a sua época estar marcada por contendas políticas e religiosas. A figura de Afonso X está no centro da atividade poética ibérica do século XIII, por ele encorajada e patrocinada antes de ser por ele próprio praticada: a sua corte foi o lugar de encontro de um grande número dos poetas galego-portugueses mais representativos e de muitos trovadores provençais, que encontraram em Afonso X não só o patrono como também o inteligente e interessado interlocutor para questões requintadamente literárias e científicas. Além da poesia lírica, destacam-se as suas contribuições para o direito, a organização das «Partidas» e do «Foro real», e para a historiografia, com as edições da «Primeira Cronica General» e da «General Estoria». Foi em seu torno, e sobre os seus auspícios, que se desenvolveu a famosa escola de Toledo, centro de inúmeras traduções.",Compilador,1,Península Ibérica (Castela),Toledo,39° 51′ 46″ N,4° 1′ 38″ W,Não aplicável,Jurídica,Indisputada,Idade Média Central (XI-XIII),1221,1284,
DUA079,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro dos Padres Santos em papel de marca mayor que foi de João Pereira,Por classificar,,,,Hagiografia,,,Desconhecido (Geral),,,1,Não Aplicável,Não Aplicável,Não Aplicável,Não Aplicável,,Espiritualidade e religiosidade,,Indeterminada,,,
DUA074,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Estoria de Troya por aragoez,História Troiana,,,,Matéria Itálica,Matéria de Roma Antiga,,Guido de Colonna,,,1,Península Itálica,Messina,38° 11′ 0″ N,15° 33′ 0″ E,,Novelas de cavalaria,,Idade Média Central (XI-XIII),,,
DUA077,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro de resar d'el-Rei em que está a Confissão geral,Livro de Orações [com o Sacramento da Confissão Geral],,,,Liturgia,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Espiritualidade e religiosidade,,Baixa Idade Média (XIV-XV),,,
DUA065,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Guerras da Macedonia em papel de marca grande,Desde a Fundação da Cidade (Ab Urbe Condita),,,,Historiografia,Historiografia romana,,Tito Lívio (Titus Livius),,,1,Península Itálica,Pádua,45° 24′ 0″ N,11° 52′ 0″ E,,História,Indisputada,Antiguidade Clássica (V aC-III),,,
DUA073,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Um livro das Meditações de Santo Agustinho que treladou o moço da Camara,Meditações,,,,Espiritualidade cristã,,,Ps. Agostinho de Hipona,,,1,Desconhecido,,Não Aplicável,Não Aplicável,,Espiritualidade e religiosidade,,Baixa Idade Média (XIV-XV),,,
DUA072,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro de Monteria,Por classificar,,,,Cinegética,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Técnica,,Baixa Idade Média (XIV-XV),,,
DUA071,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Libro de Anibal por portuguez,[Livro de] Aníbal,,,,Historiografia,,,Desconhecido (Antiguidade Clássica),,,1,Não Aplicável,Não Aplicável,Não Aplicável,Não Aplicável,,História,Dubitativa,Antiguidade Clássica (V aC-III),,,
DUA070,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,O Arcypreste de Fysa,Libro de Buen Amor,,,,Contos morais e exemplares,Prosa moral,,Juan Ruiz,,,1,Península Ibérica (Castela),Alcalá de Henares,40° 28′ 0″ N,3° 22′ 0″ W,,Moralidades,,Baixa Idade Média (XIV-XV),,,
DUA069,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro de papel velho encadernado em purgaminho que fala dos costumes dos homens e outras cousas,Livro dos Costumes dos Homens e Outras Coisas,,,,Desconhecido,,,Anónimo (Geral),,,1,Desconhecido,Desconhecido,Não Aplicável,Não Aplicável,,Desconhecida,,Baixa Idade Média (XIV-XV),,,
