ID_Cod,Proprietario_Nome,Proprietario_DatasExtremas,Proprietario_Titulo,Proprietario_Titulo_DatasExtremas,TipoDoc,Descricao,Obra,AtribuicaoAlternatObra,Sinopse_Obra,ProbAtribObra,GenLit_Descricao,TradicaoIntelectual_Obra,AtribuicaoAlternatAutor,Nome_Autor,BioAbreviada_Autor,EstatutoAutor,NumCopias,OrigemGeografica_Autor,LocalNasc_Autor,Latitude_Autor,Longitude_Autor,LocalMorte_Autor,CatLit_Descricao,ProbAtribAutor,EpocaHistorica_Autor,DataNasc_Autor,DataMorte_Autor,Idioma,Forma,Suporte,DataProdOriginal_Obra,LugarProdOriginal_Obra,CopiasArquivisticas_Obra,EdicoesTextuais_Obra
129,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,O Livro das Trovas de El-Rei Dom Diniz,Livro das Trovas de D. Dinis,,Em classificação,Em classificação,Poesia lírica,Lírica peninsular,,"Dinis (D.), Rei de Portugal",Em classificação,Em classificação,1,Península Ibérica (Portugal),Lisboa,"38° 42' 49"" N","9° 8' 21"" W",Santarem,Poesia,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
130,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro da Corte Imperial,Livro da Corte Imperial,,Em classificação,Em classificação,Espiritualidade cristã,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
131,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro da Lepra encadernado em purgaminho,Sobre a Lepra,,Em classificação,Em classificação,Medicina,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Médica,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
132,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro de Logica,Sobre a Lógica,,Em classificação,Em classificação,Lógica,Filosofia islâmica,,Desconhecido (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Filosofia e Artes liberais,Em classificação,Indeterminada,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
133,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro das Pregações,Livro das Pregações,,Em classificação,Em classificação,Homilética,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
134,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Libro das Meditações de Santo Agostinho, e das Confissões",Meditações,,Em classificação,Em classificação,Teologia,Patrística ocidental,,Agostinho de Hipona (Augustinus),Em classificação,Em classificação,1,Norte de África,"Tagaste, i.e. Souk Ahras","36° 17' 0"" N","7° 57' 0"" E","Hipona, i.e. Annaba",Espiritualidade e religiosidade,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
135,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,"Caderno das Commemorações, em letra grosa",Em classificação,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
136,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro das Oras do Espirito Santo encadernado em letra grosa coberto de coiro verde,Livro de Horas do Espírito Santo,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
137,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Cadernos das cidades e villas de Portugal,Cidades e villas de Portugal,,Em classificação,Em classificação,Geografia,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Filosofia e Artes liberais,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
138,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro da Virtuosa Bemfeitoria,Livro da Virtuosa Bemfeitoria,,Em classificação,Em classificação,Literatura didática,Ética cavaleiresca,,"Pedro  (D.), Duque de Coimbra",Em classificação,Em classificação,1,Península Ibérica (Portugal),Coimbra,"40° 12' 0"" N","8° 25' 0"" W",Alfarrobeira,Técnica,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
139,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro das Ordenações dos Reis,Ordenações dos Primeiros Reis,Livro das Leis e Posturas,"Compilação desaparecida, o ‘Livro das Ordenações dos Reis’, pertença de D. Duarte, citado no inventário da sua livraria de mão, é por vezes identificado com as ‘Ordenações de D. Duarte’. Bem mais provavelmente, corresponderá à cópia-matriz usada para nelas se transcrever a seção de leis, ordenações, degredos, constituições, estabelecimentos, concórdias, agravamentos e costumes, de reinados anteriores — de D. Afonso II, D. Afonso III, D. Dinis e D. Afonso IV (fls. 23r-352v). É admissível que seja o «Livro das Ordenações que anda na Chancelaria», assim referido numa certidão do Mosteiro de Tarouca, que Teófilo Braga identifica possivelmente com um código mandado organizar por D. João I ao seu jurisconsulto João Mendes Cavaleiro. Este ‘Livro das Ordenações dos Reis’ poderá ter sido usado supletivamente como fonte para as ‘Ordenações Afonsinas’.",Provável,Direito,Ordenamento jurídico português,Não aplicável,"AAVV (D. Afonso II, D. Afonso III, D. Dinis, D. Afonso IV)",Em classificação,Compilador,1,Península Ibérica (Portugal),Portugal,"39° 39' 52"" N","8° 7' 58"" W",Portugal,Jurídica,Segura,Idade Média Central (XI-XIII),sécs. XII-XIV,sécs. XII-XIV,Em classificação,Em classificação,Em classificação,sécs.- XIII-XIV,Portugal,Em classificação,Em classificação
140,D. Duarte,1391-1438,Rei de Portugal,1433-1438,Diário,Livro dos Officios da casa de algum rei,Livro de Ofícios dos Reis,,Em classificação,Em classificação,Desconhecido,Em classificação,,Anónimo (Geral),Em classificação,Em classificação,1,?,?,Não Aplicável,Não Aplicável,?,Desconhecida,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
