ID_Cod,Proprietario_Nome,Proprietario_DatasExtremas,Proprietario_Titulo,Proprietario_Titulo_DatasExtremas,TipoDoc,Descricao,Obra,AtribuicaoAlternatObra,Sinopse_Obra,ProbAtribObra,GenLit_Descricao,TradicaoIntelectual_Obra,AtribuicaoAlternatAutor,Nome_Autor,BioAbreviada_Autor,EstatutoAutor,NumCopias,OrigemGeografica_Autor,LocalNasc_Autor,Latitude_Autor,Longitude_Autor,LocalMorte_Autor,CatLit_Descricao,ProbAtribAutor,EpocaHistorica_Autor,DataNasc_Autor,DataMorte_Autor,Idioma,Forma,Suporte,DataProdOriginal_Obra,LugarProdOriginal_Obra,CopiasArquivisticas_Obra,EdicoesTextuais_Obra
0,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Cantigas,Em classificação,,Em classificação,Em classificação,Poesia lírica,Em classificação,,Dante Alighieri,Em classificação,Autor,1,Península Itálica,Florença,"43° 46' 18"" N","11° 15' 21"" E",Ravena,Poesia,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
1,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,S. Tomás,Em classificação,,Em classificação,Em classificação,Teologia,Em classificação,,Tomás de Aquino (Thomas Aquinas),Em classificação,Autor,1,Península Itálica,Roccasecca,"41° 33' 0"" N","13° 41' 0"" E",Fossanova,Espiritualidade e religiosidade,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
2,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,S. Gregório,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,"Gregório I, Papa",Em classificação,Autor,1,Península Itálica,Roma,"41° 53' 24"" N","12° 28' 58"" E",Roma,Em classificação,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
3,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Orósio,Em classificação,,Em classificação,Em classificação,Historiografia,Em classificação,,Paulo Orósio (Paulo Orosius),Em classificação,Autor,1,Península Ibérica,"Bracara Augusta, i.e. Braga","41° 32' 0"" N","8° 25' 0"" W",Hispânia,História,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
4,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Marco Polo,Em classificação,,Em classificação,Em classificação,Viagens,Em classificação,,Marco Polo,Em classificação,Autor,1,Península Itálica,Veneza,"45° 26' 0"" N","12° 20' 0"" E",Veneza,Técnica,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
5,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Metamorfoses,Metamorfoses,,Em classificação,Em classificação,Poesia épica,Em classificação,,Ovídio (Publius Ovidius Naso),Em classificação,Autor,1,Península Itálica,Sulmona,"42° 5' 0"" N","13° 56' 0"" E","Tomi, i.e. Constanta",Poesia,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
6,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Fedra,Fedra (Phaedra),,Em classificação,Em classificação,Tragédia,Em classificação,,Séneca (Lucius Annaeus Seneca),Em classificação,Autor,1,Península Ibérica,Córdova,"37° 53' 0"" N","4° 46' 0"" W",Roma,Dramaturgia,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
7,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Hipólito,Hipólito,,Em classificação,Em classificação,Tragédia,Em classificação,,Séneca (Lucius Annaeus Seneca),Em classificação,Autor,1,Península Ibérica,Córdova,"37° 53' 0"" N","4° 46' 0"" W",Roma,Dramaturgia,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
8,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Lucas de Tui,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Lucas de Tui,Em classificação,Autor,1,Península Ibérica (Galiza),Tui,"42° 2' 0"" N","8° 38' 0"" W",Tui,Em classificação,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
9,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Cícero,Em classificação,,Em classificação,Em classificação,Filosofia,Em classificação,,Marco Túlio Cícero (Marcus Tullius Cicero),Em classificação,Autor,1,Península Itálica,Arpino,"41° 38' 0"" N","13° 36' 0"" E",Formia,Filosofia e Artes liberais,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
10,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,S. Jerónimo,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Jerónimo de Estridão,Em classificação,Autor,1,Próximo Oriente,Estridão,"44° 14' 0"" N","16° 36' 0"" E",Belém,Em classificação,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
11,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Salústio,Em classificação,,Em classificação,Em classificação,Historiografia,Em classificação,,"Salústio (Gaius Sallustius Crispus)

)",Em classificação,Autor,1,Península Itálica,Amiternum,"42° 25' 0"" N","13° 17' 0"" E",Roma,História,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
12,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Ética de Aristóteles,Em classificação,,Em classificação,Em classificação,Filosofia,Em classificação,,Aristóteles,Em classificação,Autor,1,Grécia,Estagira,"40° 23' 0"" N","23° 47' 0"" E",Calcis,Filosofia e Artes liberais,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
13,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Valério Máximo,Feitos e ditos memoráveis (Facta et Dicta Memorabilia),,Em classificação,Em classificação,Contos morais e exemplares,Ética romana,,Valério Máximo (Gaius Valerius Maximus),Em classificação,Autor,1,Península Itálica,Roma,"41° 53' 24"" N","12° 28' 58"" E",Roma,Moralidades,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
14,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Summa de História Roma,Farsália (Pharsalia),,Em classificação,Em classificação,Poesia épica,Em classificação,,Lucano (Marcus Annaeus Lucanus),Em classificação,Autor,1,Península Ibérica,Córdova,"37° 53' 0"" N","4° 46' 0"" W",Roma,Poesia,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
15,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Lucano,Farsália (Pharsalia),,Em classificação,Em classificação,Poesia épica,Em classificação,,Lucano (Marcus Annaeus Lucanus),Em classificação,Autor,1,Península Ibérica,Córdova,"37° 53' 0"" N","4° 46' 0"" W",Roma,Poesia,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
16,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,S. Crisóstomo,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,João Crisóstomo (Johannes Chrisostomus),Em classificação,Autor,1,Próximo Oriente,"Antioquia, i.e. Antakya","36° 12' 0"" N","36° 9' 0"" E",Comana,Em classificação,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
17,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Viagens de S. Brandão,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Não aplicável,Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Em classificação,Em classificação,Indeterminada,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
18,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Cidade de Deus,Em classificação,,Em classificação,Em classificação,Teologia,Em classificação,,Agostinho de Hipona (Augustinus),Em classificação,Autor,1,Norte de África,"Tagaste, i.e. Souk Ahras","36° 17' 0"" N","7° 57' 0"" E","Hipona, i.e. Annaba",Espiritualidade e religiosidade,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
19,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Décadas,Em classificação,,Em classificação,Em classificação,Historiografia,Em classificação,,Tito Lívio (Titus Livius),Em classificação,Autor,1,Península Itálica,Pádua,"45° 24' 0"" N","11° 52' 0"" E",Pádua,História,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
20,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Rodrigo de Toledo,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Rodrigo de Toledo,Em classificação,Autor,1,Península Ibérica (Castela),Toledo,"39° 51' 46"" N","4° 1' 38"" W",Toledo,Em classificação,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
21,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Das Antiguidades judaicas,Antiguidades Judaicas,,Em classificação,Em classificação,Historiografia,Em classificação,,Flávio Josefo (Yosef ben Matityahu),Em classificação,Autor,1,Próximo Oriente,Jerusalém,"31° 46' 41"" N","35° 13' 25"" E",Roma,História,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
22,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Das gerações de Noé,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Gualter,Em classificação,Autor,1,Em classificação,Em classificação,Não Aplicável,Não Aplicável,Em classificação,Em classificação,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
23,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,As Obras dos Romãos,Em classificação,,Em classificação,Em classificação,Historiografia,Em classificação,,Não aplicável,Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,História,Em classificação,Indeterminada,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
24,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,De re militari,Em classificação,,Em classificação,Em classificação,Ética cavaleiresca,Em classificação,,Vegécio (Publius Flavius Vegetius Renatus),Em classificação,Autor,1,Península Itálica,Roma,"41° 53' 24"" N","12° 28' 58"" E",?,Ética,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
25,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Escritura Santa,Bíblia [Completa],,Em classificação,Em classificação,Bíblia / Escrituras,Em classificação,,Anónimo (Antiguidade Clássica),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
26,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Séneca,Em classificação,,Em classificação,Em classificação,Filosofia,Em classificação,,Séneca (Lucius Annaeus Seneca),Em classificação,Autor,1,Península Ibérica,Córdova,"37° 53' 0"" N","4° 46' 0"" W",Roma,Filosofia e Artes liberais,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
27,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Tito Lívio,Em classificação,,Em classificação,Em classificação,Historiografia,Em classificação,,Tito Lívio (Titus Livius),Em classificação,Autor,1,Península Itálica,Pádua,"45° 24' 0"" N","11° 52' 0"" E",Pádua,História,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
28,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Ensinança dos moços fidalgos,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,"Paulo Vergério, o Velho",Em classificação,Autor,1,Península Itálica,Verona,"45° 26' 0"" N","10° 59' 0"" E",Verona,Em classificação,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
29,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,"Regimento da Casa de Ricardo, senhor do castello Ambrósio",Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Não aplicável,Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Em classificação,Em classificação,Indeterminada,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
30,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Regimento de Príncipes,Em classificação,,Em classificação,Em classificação,Literatura didática,Em classificação,,Gil de Roma,Em classificação,Autor,1,Península Itálica,Roma,"41° 53' 24"" N","12° 28' 58"" E",Paris,Técnica,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
31,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Aristóteles,Em classificação,,Em classificação,Em classificação,Filosofia,Em classificação,,Aristóteles,Em classificação,Autor,1,Grécia,Estagira,"40° 23' 0"" N","23° 47' 0"" E",Calcis,Filosofia e Artes liberais,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
32,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Ptolomeu,Em classificação,,Em classificação,Em classificação,Astronomia / Astrologia,Em classificação,,Ptolomeu (Claudius Ptolemaeus),Em classificação,Autor,1,Norte de África,Alexandria,"31° 12' 0"" N","29° 55' 0"" E",Alexandria,Filosofia e Artes liberais,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
33,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Plínio,Em classificação,,Em classificação,Em classificação,Filosofia,Em classificação,,"Plínio, o Antigo (Gaius Plinius Secundus)",Em classificação,Autor,1,Península Itálica,Como,"45° 48' 0"" N","9° 5' 0"" E",Estábia,Filosofia e Artes liberais,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
34,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Homero,Em classificação,,Em classificação,Em classificação,Poesia épica,Em classificação,,Homero (Hómeros),Em classificação,Autor,1,Próximo Oriente,"Esmirna, i.e. Izmir","38° 25' 0"" N","27° 8' 0"" E",Íos,Poesia,Em classificação,Época Arcaica (VIII-V aC),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
35,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Esidro,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Não aplicável,Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Em classificação,Em classificação,Indeterminada,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
36,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Lucano,Farsália (Pharsalia),,Em classificação,Em classificação,Poesia épica,Em classificação,,Lucano (Marcus Annaeus Lucanus),Em classificação,Autor,1,Península Ibérica,Córdova,"37° 53' 0"" N","4° 46' 0"" W",Roma,Poesia,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
37,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Paulo Orósio,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Paulo Orósio (Paulo Orosius),Em classificação,Autor,1,Península Ibérica,"Bracara Augusta, i.e. Braga","41° 32' 0"" N","8° 25' 0"" W",Hispânia,Em classificação,Em classificação,Antiguidade Tardia (III-VIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
38,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,"Gundofre, ou Gundolfo",Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,"Gundofre, ou Gundolfo",Em classificação,Autor,1,Em classificação,Em classificação,Não Aplicável,Não Aplicável,Em classificação,Em classificação,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
39,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,"Mestre João o Inglês, ou Duns Scoto",Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,João Duns Escoto (Johannes Duns Scotus),Em classificação,Autor,1,Ilhas Britânicas,Duns,"55° 46' 0"" N","2° 20' 0"" W",Colónia,Em classificação,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
40,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,"Pharsalia, canto X",Farsália (Pharsalia),,Em classificação,Em classificação,Poesia épica,Em classificação,,Lucano (Marcus Annaeus Lucanus),Em classificação,Autor,1,Península Ibérica,Córdova,"37° 53' 0"" N","4° 46' 0"" W",Roma,Poesia,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
41,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,"Hermas, o Pastor",Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Não aplicável,Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Em classificação,Em classificação,Indeterminada,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
42,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Pedro Lombardo,Em classificação,,Em classificação,Em classificação,Teologia,Em classificação,,Pedro Lombardo (Petrus Lombardus),Em classificação,Autor,1,Península Itálica,Lumellogno,"45° 25' 0"" N","8° 36' 0"" E",Paris,Espiritualidade e religiosidade,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
43,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Da hierarquia celestial,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Alberto Magno,Em classificação,Autor,1,Germânia,Lauingen,"48° 34' 0"" N","10° 26' 0"" E",Colónia,Em classificação,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
44,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Da Potência de Deus,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Tomás de Aquino (Thomas Aquinas),Em classificação,Autor,1,Península Itálica,Roccasecca,"41° 33' 0"" N","13° 41' 0"" E",Fossanova,Em classificação,Em classificação,Idade Média Central (XI-XIII),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
45,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Evangelho de S. Lucas,Em classificação,,Em classificação,Em classificação,Bíblia / Escrituras,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
46,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Epístolas de S. Paulo,Epístolas Paulinas,,Em classificação,Em classificação,Bíblia / Escrituras,Em classificação,,Saulo de Tarso (Paulo de Tarso),Em classificação,Autor,1,Península Itálica,Tarso,"36° 55' 0"" N","34° 53' 0"" E",Roma,Espiritualidade e religiosidade,Em classificação,Em classificação,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
47,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Jeham de Lanson,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Jean de Lançon,Em classificação,Autor,1,França,Lançon,"43° 34' 0"" N","5° 7' 0"" E",?,Em classificação,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
48,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Amadis de Gaula,Em classificação,,Em classificação,Em classificação,Matéria da Bretanha,Em classificação,,Não aplicável,Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Novelas de cavalaria,Em classificação,Indeterminada,?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
49,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,"Um missal impresso, velho e roto, com uma funda de azul.",Missal,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
50,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,"Um missal manuscrito, que pertencera ao infante D. João, em pergaminho.",Missal,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
51,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,"Um missal, manuscrito, em pergaminho, coberto de couro vermelho.",Missal,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
52,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,"Um breviário impresso, velho, em papel, coberto de couro preto.",Breviário (geral),,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
53,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,"Dois livros velhos de canto de órgão, ambos cobertos de couro vermelho e ouro preto.",Antifonário (geral),,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
54,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,"Dois livros velhos de canto de órgão, ambos cobertos de couro vermelho e ouro preto.",Antifonário (geral),,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
55,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
56,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
57,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
58,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
59,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
60,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
61,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
62,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
63,D. Beatriz,1430-1506,Duquesa de Beja-Viseu,1447-1506,Livro de Receitas e Despesas,Doze cadernos de procissões pequenos e encadernados.,Processionário,,Em classificação,Em classificação,Liturgia,Em classificação,,Anónimo (Geral),Em classificação,Autor,1,?,?,Não Aplicável,Não Aplicável,?,Espiritualidade e religiosidade,Em classificação,Baixa Idade Média (XIV-XV),?,?,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
